Student_ID,Age,Gender,Study_Hours_per_Week,Preferred_Learning_Style,Online_Courses_Completed,Participation_in_Discussions,Assignment_Completion_Rate (%),Exam_Score (%),Attendance_Rate (%),Use_of_Educational_Tech,Self_Reported_Stress_Level,Time_Spent_on_Social_Media (hours/week),Sleep_Hours_per_Night,Equiv_Grade,College,Degree_Program
S00039,21,Female,20,Kinesthetic,1,Yes,64,99,62,No,High,2,4,4.055,Health Sciences,Public Health
S00040,24,Male,12,Visual,,Yes,98,65,58,Yes,Medium,0,5,3.675,Health Sciences,Medical Technology
S00041,27,Male,41,Reading/Writing,14,No,65,56,74,Yes,Low,26,9,3.115,Business and Finance,Economics
S00042,28,Female,46,Kinesthetic,8,No,77,51,88,Yes,Low,23,5,3.31,Health Sciences,Public Health
S00043,25,Other,24,Auditory,19,No,90,93,54,Yes,High,17,9,4.215,Business and Finance,Economics
S00044,22,Female,38,Auditory,5,Yes,96,54,92,No,High,16,5,3.71,Engineering,Mechanical
S00045,20,Female,45,Visual,9,No,78,42,58,Yes,Low,24,8,2.8,Business and Finance,Business Administration
S00046,28,Other,6,Visual,13,No,81,92,90,No,Medium,6,10,4.415,Health Sciences,Public Health
S00047,26,Female,23,Visual,10,No,94,42,65,Yes,Medium,11,6,3.11,Business and Finance,Accountancy
S00048,25,Male,35,Auditory,16,Yes,50,83,88,Yes,High,8,4,3.705,Health Sciences,Public Health
S00049,19,Male,12,Kinesthetic,5,Yes,50,78,66,Yes,Low,0,8,3.36,Engineering,Electrical
S00050,25,Female,38,Kinesthetic,6,Yes,88,76,100,Yes,Low,12,9,4.22,Health Sciences,Public Health
S00051,19,Male,44,Auditory,17,Yes,98,44,66,Yes,High,4,4,3.23,Engineering,Electrical
S00052,21,Female,33,Visual,9,Yes,99,87,79,No,High,21,7,4.45,Business and Finance,Economics
S00053,23,Female,26,Visual,3,Yes,62,64,71,Yes,Low,10,6,3.24,Engineering,Electronic
S00054,19,Male,47,Kinesthetic,2,No,52,44,84,Yes,Medium,11,10,2.72,Health Sciences,Medical Technology
S00055,25,Male,39,Reading/Writing,15,Yes,88,89,63,No,Medium,5,5,4.175,Business and Finance,Economics
S00056,23,Male,21,Visual,1,Yes,89,59,74,Yes,Medium,18,8,3.55,Engineering,Mechanical
S00057,21,Female,5,Visual,19,Yes,71,69,77,Yes,High,30,6,3.56,Business and Finance,Business Administration
S00058,29,Male,19,Reading/Writing,5,No,53,85,71,No,Medium,29,9,3.63,Engineering,Electronic
S00059,29,Female,36,Reading/Writing,17,Yes,52,46,51,Yes,Low,27,7,2.44,Business and Finance,Business Administration
S00060,20,Male,14,Kinesthetic,2,Yes,52,83,77,Yes,High,19,9,3.625,Engineering,Mechanical
S00061,25,Female,41,Kinesthetic,6,Yes,59,69,53,No,Low,11,6,3.14,Business and Finance,Economics
S00062,26,Female,32,Reading/Writing,7,Yes,71,94,89,No,Low,18,10,4.305,Business and Finance,Entrepreneurship
S00063,18,Male,21,Kinesthetic,12,Yes,100,55,75,No,Medium,28,4,3.625,Health Sciences,Public Health
S00064,20,Female,21,Kinesthetic,10,Yes,72,44,83,Yes,Low,12,6,3.01,Engineering,Electrical
S00065,24,Female,31,Kinesthetic,6,Yes,88,60,77,Yes,Low,11,6,3.59,Health Sciences,Medical Technology
S00066,24,Female,9,Kinesthetic,11,No,88,95,87,No,Medium,23,5,4.565,Business and Finance,Economics
S00067,24,Male,12,Kinesthetic,14,No,57,57,73,Yes,Medium,4,7,3.01,Engineering,Electrical
S00068,27,Male,42,Auditory,11,No,83,66,60,No,Medium,21,7,3.495,Engineering,Electronic
S00069,19,Male,11,Visual,3,No,91,73,73,No,Medium,2,9,3.92,Engineering,Electrical
S00070,18,Female,35,Visual,2,No,96,54,96,Yes,High,5,9,3.75,Engineering,Computer
S00071,22,Male,9,Reading/Writing,7,Yes,53,72,87,No,Medium,10,8,3.465,Health Sciences,Nursing
S00072,20,Female,46,Visual,13,No,55,45,52,No,Medium,7,7,2.47,Business and Finance,Economics
S00073,23,Male,9,Visual,3,Yes,53,83,78,No,Low,2,8,3.65,Engineering,Mechanical
S00074,19,Male,7,Auditory,12,No,79,76,72,Yes,Medium,10,5,3.805,Engineering,Electrical
S00075,25,Male,22,Visual,6,No,75,88,68,No,Medium,19,9,4.005,Engineering,Mechanical
S00076,29,Female,34,Auditory,3,Yes,53,47,99,No,Medium,27,6,2.96,Engineering,Mechanical
S00077,25,Female,31,Reading/Writing,11,Yes,76,80,69,Yes,Low,24,5,3.83,Health Sciences,Medical Technology
S00078,23,Male,38,Kinesthetic,0,Yes,62,93,96,Yes,Medium,5,6,4.215,Health Sciences,Nursing
S00079,26,Male,39,Reading/Writing,15,No,88,53,57,Yes,High,13,8,3.215,Business and Finance,Entrepreneurship
S00080,25,Female,23,Visual,5,Yes,62,76,61,Yes,High,0,6,3.44,Business and Finance,Economics
S00081,24,Male,,Reading/Writing,16,Yes,,54,63,Yes,Low,23,8,1.98,Engineering,Computer
S00082,20,Female,34,Kinesthetic,18,No,76,57,61,Yes,Medium,25,5,3.175,Business and Finance,Entrepreneurship
S00083,23,Male,12,Visual,8,Yes,75,70,52,Yes,Low,10,8,3.395,Engineering,Electronic
S00084,28,Female,28,Reading/Writing,0,Yes,98,99,99,Yes,Medium,1,4,4.935,Engineering,Electronic
S00085,18,Male,23,Reading/Writing,0,No,89,81,70,Yes,Medium,13,9,4.06,Business and Finance,Economics
S00086,19,Female,35,Kinesthetic,9,Yes,90,61,92,No,Medium,2,8,3.795,Health Sciences,Medical Technology
S00087,20,Male,5,Reading/Writing,14,No,71,44,61,No,Medium,2,5,2.775,Business and Finance,Business Administration
S00088,29,Female,11,Visual,4,Yes,74,59,80,No,Medium,18,4,3.385,Engineering,Mechanical
S00089,24,Female,24,,9,Yes,55,51,95,Yes,Medium,2,,3.05,Health Sciences,Public Health
S00090,19,Female,15,Reading/Writing,15,Yes,61,94,54,No,High,20,10,3.805,Health Sciences,Public Health
S00091,25,Female,40,Auditory,15,Yes,58,88,87,No,Low,28,7,3.94,Engineering,Computer
S00092,27,Female,12,Reading/Writing,19,Yes,58,92,86,No,Low,26,5,4.03,Engineering,Electrical
,,,,Kinesthetic,,No,,,72,,Medium,,,0.72,Engineering,Computer
S00094,29,Female,12,Reading/Writing,15,Yes,57,74,57,No,Medium,13,8,3.275,Engineering,Computer
S00095,29,Female,22,Visual,6,No,100,61,87,Yes,Medium,19,5,3.895,Health Sciences,Pharmacy
S00096,19,Male,25,Visual,12,Yes,80,94,52,Yes,Low,15,10,4.07,Engineering,Computer
S00097,26,Female,16,Auditory,9,,81,,,No,Medium,,,1.215,Health Sciences,Pharmacy
S00098,28,Female,39,Reading/Writing,13,No,100,100,96,Yes,Medium,15,8,4.96,Health Sciences,Pharmacy
S00099,22,Female,34,Reading/Writing,17,No,86,44,95,Yes,Low,12,9,3.34,Business and Finance,Economics
S00100,24,Male,30,Kinesthetic,7,No,80,93,80,Yes,Low,1,7,4.325,Engineering,Computer
S00101,23,Female,11,Auditory,10,No,63,47,81,Yes,Low,0,4,2.93,Business and Finance,Entrepreneurship
S00102,26,Male,16,Reading/Writing,14,Yes,89,83,59,Yes,High,12,4,4,Health Sciences,Pharmacy
S00103,20,Male,47,Auditory,5,No,73,68,59,Yes,Low,29,10,3.385,Engineering,Electronic
S00104,18,Female,49,Visual,6,No,91,55,59,Yes,Medium,19,8,3.33,Health Sciences,Pharmacy
S00105,26,Male,16,Kinesthetic,19,No,54,55,62,Yes,High,15,5,2.805,Engineering,Electrical
S00106,19,Female,38,Kinesthetic,0,Yes,74,40,68,No,Medium,27,9,2.79,Engineering,Electrical
S00107,,,,,18,Yes,56,,81,Yes,,7,6,1.65,Business and Finance,Business Administration
,,,46,,,,,71,,,,,,1.775,Health Sciences,Public Health
S00109,,Female,5,Reading/Writing,,Yes,63,84,,,Medium,14,,3.045,Health Sciences,Nursing
S00110,23,Female,23,Reading/Writing,7,Yes,61,98,50,Yes,Low,4,4,3.865,Health Sciences,Medical Technology
S00111,23,Male,10,Reading/Writing,17,No,52,61,51,Yes,High,17,4,2.815,Engineering,Electronic
S00112,25,Female,45,Kinesthetic,20,Yes,75,42,92,Yes,Medium,28,6,3.095,Business and Finance,Accountancy
S00113,21,Female,48,Visual,6,Yes,66,78,86,Yes,Medium,14,7,3.8,Business and Finance,Business Administration
S00114,27,Female,31,Reading/Writing,1,Yes,79,57,58,No,Low,20,7,3.19,Business and Finance,Accountancy
S00115,24,Male,33,Auditory,18,Yes,59,62,69,No,Low,8,10,3.125,Health Sciences,Medical Technology
S00116,19,Female,23,Visual,6,No,56,59,81,Yes,Medium,27,10,3.125,Engineering,Computer
S00117,28,Female,23,Visual,2,No,76,89,98,No,High,28,10,4.345,Health Sciences,Public Health
S00118,27,Male,13,Reading/Writing,5,No,79,63,80,Yes,Medium,5,8,3.56,Health Sciences,Pharmacy
S00119,28,Female,36,Kinesthetic,0,No,52,48,68,Yes,High,15,8,2.66,Business and Finance,Economics
S00120,28,Male,16,,10,Yes,67,57,55,,High,,,2.98,Business and Finance,Entrepreneurship
S00121,21,Female,15,Kinesthetic,16,No,97,95,72,Yes,Medium,4,4,4.55,Engineering,Electronic
S00122,29,Other,26,Auditory,0,Yes,73,65,79,No,Medium,2,8,3.51,Business and Finance,Entrepreneurship
S00123,24,Female,10,Visual,2,No,61,40,75,No,Low,23,5,2.665,Business and Finance,Entrepreneurship
S00124,25,Female,30,Auditory,4,No,58,81,57,Yes,Medium,27,8,3.465,Health Sciences,Pharmacy
S00125,21,Female,48,Kinesthetic,8,No,89,96,61,Yes,High,11,6,4.345,Business and Finance,Business Administration
S00126,25,Female,24,Visual,2,No,73,79,70,No,High,15,7,3.77,Health Sciences,Medical Technology
S00127,22,Female,39,Kinesthetic,6,Yes,64,74,52,Yes,Medium,20,4,3.33,Engineering,Electrical
S00128,28,Male,29,Auditory,19,No,99,83,92,No,Low,4,8,4.48,Engineering,Electrical
S00129,26,Other,40,Visual,2,Yes,91,59,61,Yes,Medium,23,7,3.45,Health Sciences,Medical Technology
S00130,29,Female,30,Reading/Writing,17,Yes,92,77,52,No,Medium,2,7,3.825,Business and Finance,Economics
S00131,26,Female,14,Kinesthetic,16,Yes,89,73,67,Yes,Low,6,5,3.83,Engineering,Mechanical
S00132,28,Male,32,Kinesthetic,2,No,66,79,61,No,Medium,20,8,3.575,Business and Finance,Economics
S00133,21,Male,10,Kinesthetic,4,Yes,58,58,88,Yes,High,5,4,3.2,Business and Finance,Business Administration
S00134,18,Male,15,Reading/Writing,0,Yes,97,64,57,Yes,Medium,7,9,3.625,Business and Finance,Economics
S00135,20,Male,11,Kinesthetic,17,Yes,95,97,92,No,Medium,4,10,4.77,Business and Finance,Business Administration
S00136,28,Other,27,Reading/Writing,14,Yes,83,45,74,Yes,High,9,9,3.11,Business and Finance,Accountancy
S00137,27,Female,12,Visual,5,Yes,68,87,52,No,Medium,19,8,3.715,Health Sciences,Public Health
S00138,18,Male,14,Visual,2,Yes,84,80,84,No,Low,7,9,4.1,Business and Finance,Business Administration
S00139,21,Female,42,Kinesthetic,5,No,53,84,93,Yes,Low,16,4,3.825,Business and Finance,Entrepreneurship
S00140,27,Female,40,Visual,19,No,60,83,57,Yes,Low,21,10,3.545,Engineering,Electronic
S00141,23,Female,21,Auditory,11,No,79,56,84,Yes,Medium,13,5,3.425,Health Sciences,Public Health
S00142,27,Male,17,Auditory,6,No,100,68,96,Yes,Low,13,9,4.16,Engineering,Electrical
S00143,23,Female,43,Auditory,14,Yes,67,83,80,Yes,Medium,15,7,3.88,Health Sciences,Pharmacy
S00144,23,Female,7,Auditory,11,No,73,95,59,Yes,Medium,8,8,4.06,Business and Finance,Entrepreneurship
S00145,21,Male,23,Visual,14,Yes,89,70,96,Yes,High,1,6,4.045,Business and Finance,Accountancy
S00146,21,Male,12,Reading/Writing,4,Yes,76,44,93,Yes,Low,0,4,3.17,Health Sciences,Pharmacy
S00147,20,Male,27,Reading/Writing,14,Yes,63,45,73,Yes,Medium,27,6,2.8,Health Sciences,Public Health
S00148,21,Female,17,Visual,18,Yes,93,92,53,Yes,Low,8,7,4.225,Business and Finance,Accountancy
S00149,25,Male,42,Reading/Writing,8,Yes,70,88,86,Yes,Low,19,8,4.11,Health Sciences,Public Health
S00150,18,Female,35,Visual,1,No,60,76,85,Yes,Medium,18,6,3.65,Business and Finance,Accountancy
S00151,20,Female,37,Reading/Writing,13,Yes,52,55,80,No,Low,5,7,2.955,Engineering,Computer
S00152,28,Male,16,Visual,2,Yes,50,96,68,Yes,Medium,11,5,3.83,Health Sciences,Nursing
S00153,28,Female,20,Visual,11,Yes,93,59,96,No,High,16,5,3.83,Engineering,Electronic
S00154,23,Male,30,Kinesthetic,18,No,68,80,77,Yes,Medium,23,5,3.79,Engineering,Electrical
S00155,21,Male,30,Auditory,10,No,68,53,69,Yes,Low,13,4,3.035,Health Sciences,Nursing
S00156,21,Male,46,Visual,19,No,91,92,91,No,Medium,15,8,4.575,Health Sciences,Public Health
S00157,26,Female,36,Kinesthetic,11,Yes,60,78,97,Yes,High,18,4,3.82,Engineering,Mechanical
S00158,20,Female,45,Visual,14,Yes,62,74,58,Yes,High,19,4,3.36,Health Sciences,Medical Technology
S00159,28,Male,11,Auditory,8,No,89,48,52,No,Medium,2,5,3.055,Business and Finance,Economics
S00160,23,Male,42,Reading/Writing,8,No,84,54,55,Yes,Low,13,9,3.16,Health Sciences,Public Health
S00161,29,Male,15,Auditory,9,No,89,71,51,Yes,Medium,11,10,3.62,Health Sciences,Public Health
S00162,27,Male,29,Kinesthetic,18,Yes,94,98,57,Yes,Low,29,9,4.43,Business and Finance,Entrepreneurship
S00163,18,Female,6,Kinesthetic,4,No,50,46,97,Yes,Medium,0,4,2.87,Health Sciences,Pharmacy
S00164,24,Female,6,Auditory,8,No,61,63,85,Yes,Medium,22,7,3.34,Business and Finance,Business Administration
S00165,19,Male,47,Reading/Writing,11,Yes,56,72,52,Yes,Low,7,9,3.16,Engineering,Mechanical
S00166,25,Male,20,Kinesthetic,10,Yes,61,59,98,Yes,Medium,21,4,3.37,Engineering,Electrical
S00167,22,Male,10,Reading/Writing,15,No,63,80,80,Yes,Low,19,4,3.745,Engineering,Electrical
S00168,20,Male,49,Visual,3,Yes,69,47,56,Yes,High,6,9,2.77,Business and Finance,Economics
S00169,21,Male,24,Visual,0,Yes,71,78,74,Yes,Medium,12,6,3.755,Business and Finance,Entrepreneurship
S00170,28,Female,40,Reading/Writing,19,No,90,44,74,Yes,Low,18,9,3.19,Health Sciences,Medical Technology
S00171,29,Male,8,Visual,1,Yes,91,92,83,No,Low,3,10,4.495,Engineering,Computer
S00172,22,Male,5,Auditory,3,Yes,86,61,96,Yes,Low,7,4,3.775,Engineering,Electronic
S00173,27,Male,35,Auditory,8,No,81,53,76,No,Low,22,4,3.3,Health Sciences,Pharmacy
S00174,27,Other,21,Visual,9,No,72,45,98,No,High,14,6,3.185,Business and Finance,Entrepreneurship
S00175,27,Female,43,Reading/Writing,11,Yes,66,80,99,Yes,High,2,6,3.98,Engineering,Electrical
S00176,18,Male,16,Visual,20,Yes,76,65,51,Yes,Medium,15,9,3.275,Business and Finance,Economics
S00177,24,Female,49,Visual,7,No,64,53,63,Yes,High,9,6,2.915,Business and Finance,Entrepreneurship
S00178,19,Male,27,Reading/Writing,9,Yes,53,41,64,Yes,Low,1,5,2.46,Engineering,Computer
S00179,28,Male,18,Visual,12,No,74,73,93,Yes,Medium,21,10,3.865,Health Sciences,Nursing
S00180,29,Female,31,Visual,0,Yes,80,94,61,Yes,Low,5,9,4.16,Engineering,Electronic
S00181,21,Male,20,Reading/Writing,19,Yes,59,53,74,Yes,Medium,22,4,2.95,Business and Finance,Entrepreneurship
S00182,28,Male,39,Kinesthetic,3,No,87,77,89,Yes,Low,8,4,4.12,Health Sciences,Pharmacy
S00183,27,Male,26,Reading/Writing,9,No,51,65,67,No,Medium,16,6,3.06,Engineering,Electrical
S00184,21,Male,39,Auditory,13,Yes,70,75,82,No,Low,4,10,3.745,Engineering,Electrical
S00185,23,Male,28,Auditory,12,Yes,65,46,55,Yes,Medium,6,4,2.675,Business and Finance,Accountancy
S00186,18,Female,41,Reading/Writing,6,Yes,61,87,70,Yes,Low,29,8,3.79,Health Sciences,Nursing
S00187,18,Female,21,Auditory,8,Yes,87,48,55,No,Medium,30,5,3.055,Health Sciences,Nursing
S00188,26,Female,8,Visual,2,No,88,96,74,Yes,Low,6,6,4.46,Engineering,Mechanical
S00189,21,Female,26,Auditory,3,Yes,62,81,90,No,Medium,0,10,3.855,Health Sciences,Public Health
S00190,22,Male,32,Auditory,8,No,89,48,60,Yes,Low,29,4,3.135,Business and Finance,Accountancy
S00191,23,Female,13,Visual,16,Yes,95,86,51,Yes,Low,22,9,4.085,Engineering,Electrical
S00192,24,Female,34,Auditory,13,No,50,79,59,Yes,Medium,13,7,3.315,Health Sciences,Public Health
S00193,23,Male,17,Reading/Writing,18,Yes,85,54,70,Yes,Medium,12,4,3.325,Health Sciences,Public Health
S00194,28,Male,9,Auditory,5,No,76,91,91,Yes,High,20,8,4.325,Engineering,Electronic
S00195,27,Female,45,Kinesthetic,4,Yes,85,86,57,No,Medium,2,8,3.995,Health Sciences,Pharmacy
S00196,29,Female,26,Reading/Writing,4,No,67,78,82,No,Low,15,9,3.775,Engineering,Computer
S00197,20,Male,39,Kinesthetic,20,No,96,84,73,No,High,14,6,4.27,Engineering,Electrical
S00198,24,Male,24,Auditory,20,Yes,52,51,96,Yes,Medium,25,10,3.015,Engineering,Electronic
S00199,19,Male,29,Kinesthetic,11,Yes,77,69,98,No,Medium,12,5,3.86,Engineering,Computer
S00200,28,Male,14,Kinesthetic,2,No,71,77,65,No,Medium,26,10,3.64,Health Sciences,Public Health
S00201,27,Male,22,Kinesthetic,3,Yes,66,69,65,Yes,Medium,1,9,3.365,Business and Finance,Business Administration
S00202,22,Male,38,Auditory,1,No,72,73,77,No,Medium,14,4,3.675,Business and Finance,Accountancy
S00203,22,Male,5,Visual,14,Yes,71,71,66,No,Medium,4,9,3.5,Engineering,Mechanical
S00204,26,Female,8,Visual,1,No,70,54,88,Yes,Low,21,5,3.28,Business and Finance,Entrepreneurship
S00205,22,Male,42,Reading/Writing,16,Yes,78,63,89,Yes,High,8,10,3.635,Engineering,Computer
S00206,24,Female,40,Visual,13,No,93,88,53,Yes,Medium,15,5,4.125,Health Sciences,Public Health
S00207,26,Male,36,Kinesthetic,6,Yes,67,88,68,Yes,High,8,10,3.885,Engineering,Electrical
S00208,25,Female,38,Reading/Writing,1,Yes,83,51,74,Yes,Low,13,5,3.26,Health Sciences,Pharmacy
S00209,22,Female,30,Kinesthetic,15,Yes,96,40,75,No,Low,16,8,3.19,Engineering,Electronic
S00210,27,Male,32,Visual,15,Yes,71,40,71,No,Medium,4,4,2.775,Business and Finance,Accountancy
S00211,18,Female,42,Kinesthetic,17,Yes,98,50,73,Yes,Low,20,5,3.45,Health Sciences,Nursing
S00212,22,Male,23,Reading/Writing,14,No,91,90,76,No,Low,27,10,4.375,Engineering,Electrical
S00213,21,Female,37,Reading/Writing,17,Yes,78,61,63,Yes,Medium,12,10,3.325,Engineering,Electrical
S00214,18,Male,12,Visual,4,No,54,68,63,Yes,High,23,10,3.14,Business and Finance,Accountancy
S00215,29,Male,32,Auditory,4,Yes,64,85,55,Yes,Medium,12,6,3.635,Health Sciences,Medical Technology
S00216,25,Male,12,Reading/Writing,14,No,72,73,83,Yes,Medium,0,6,3.735,Health Sciences,Public Health
S00217,19,Male,11,Reading/Writing,1,Yes,53,91,100,Yes,High,3,6,4.07,Health Sciences,Medical Technology
S00218,19,Female,20,Kinesthetic,17,Yes,51,79,65,Yes,Medium,13,8,3.39,Business and Finance,Accountancy
S00219,20,Female,41,Visual,10,No,65,91,54,Yes,Medium,22,10,3.79,Business and Finance,Economics
S00220,26,Male,18,Reading/Writing,14,Yes,52,94,64,No,Low,22,8,3.77,Engineering,Electrical
S00221,24,Male,46,Auditory,1,Yes,70,76,93,No,Medium,7,5,3.88,Engineering,Computer
S00222,29,Male,13,Visual,12,Yes,59,58,83,Yes,Medium,1,7,3.165,Engineering,Mechanical
S00223,25,Male,41,Reading/Writing,13,Yes,55,52,51,Yes,Medium,3,6,2.635,Engineering,Electronic
S00224,27,Male,26,Auditory,16,Yes,53,78,98,Yes,Medium,3,5,3.725,Business and Finance,Economics
S00225,26,Female,48,Kinesthetic,19,Yes,91,60,100,Yes,High,18,6,3.865,Business and Finance,Entrepreneurship
S00226,26,Female,34,Visual,4,Yes,61,77,51,No,Low,15,10,3.35,Business and Finance,Accountancy
S00227,28,Male,31,Auditory,10,No,78,85,86,No,Medium,27,9,4.155,Health Sciences,Nursing
S00228,20,Female,20,Reading/Writing,8,No,54,44,94,Yes,High,8,8,2.85,Engineering,Computer
S00229,19,Female,37,Kinesthetic,4,Yes,73,45,60,No,Low,16,7,2.82,Business and Finance,Entrepreneurship
S00230,27,Male,42,Kinesthetic,19,Yes,73,79,54,No,Low,21,6,3.61,Health Sciences,Pharmacy
S00231,28,Female,28,Visual,9,No,67,60,53,Yes,Low,7,9,3.035,Health Sciences,Pharmacy
S00232,27,Female,45,Visual,16,No,55,67,60,Yes,Low,13,9,3.1,Business and Finance,Business Administration
S00233,21,Female,8,Reading/Writing,10,Yes,79,75,55,Yes,High,11,9,3.61,Engineering,Mechanical
S00234,21,Male,23,Kinesthetic,4,Yes,91,84,83,Yes,Medium,19,6,4.295,Business and Finance,Economics
S00235,28,Male,18,Reading/Writing,8,No,94,55,96,No,Medium,14,9,3.745,Engineering,Computer
S00236,22,Male,8,Kinesthetic,3,No,60,42,68,No,Low,22,8,2.63,Business and Finance,Business Administration
S00237,22,Male,49,Kinesthetic,10,No,55,56,56,Yes,Medium,25,10,2.785,Health Sciences,Public Health
S00238,21,Female,25,Auditory,19,Yes,79,77,62,No,Medium,20,4,3.73,Engineering,Computer
S00239,29,Male,12,Visual,20,Yes,98,73,87,No,Medium,16,6,4.165,Health Sciences,Public Health
S00240,27,Female,42,Auditory,14,No,76,77,75,No,Medium,27,8,3.815,Health Sciences,Pharmacy
S00241,19,Female,48,Visual,2,Yes,71,56,78,Yes,Low,1,5,3.245,Health Sciences,Nursing
S00242,21,Male,46,Visual,19,Yes,51,84,79,Yes,Medium,22,6,3.655,Engineering,Electronic
S00243,21,Male,30,Auditory,2,Yes,94,46,51,No,Low,22,7,3.07,Engineering,Electronic
S00244,29,Female,12,Visual,3,No,50,45,93,Yes,Medium,30,6,2.805,Business and Finance,Business Administration
S00245,22,Female,28,Auditory,3,Yes,66,87,68,No,Medium,13,5,3.845,Engineering,Mechanical
S00246,28,Male,10,Visual,5,Yes,56,45,99,Yes,Low,12,7,2.955,Health Sciences,Medical Technology
S00247,20,Female,33,Visual,4,Yes,90,87,64,Yes,Medium,9,6,4.165,Engineering,Electrical
S00248,27,Male,41,Visual,15,Yes,66,99,84,No,Medium,14,10,4.305,Engineering,Electrical
S00249,25,Female,36,Kinesthetic,18,Yes,78,59,99,No,Medium,4,7,3.635,Business and Finance,Entrepreneurship
S00250,21,Male,48,Reading/Writing,17,Yes,97,84,78,Yes,Low,19,7,4.335,Business and Finance,Entrepreneurship
