,Age,Gender,StudyHrs,Learning_Style,Courses_Comp,Discuss_Part,AssignRate,Exam_Score(%),AttendRate,TechUse,StressLevel,SocMediaHrs,SleepHrs,Equiv_Grade,College,Degree_Program
121,29.0,Other,26.0,Auditory,0.0,Yes,73.0,65.0,79.0,No,Medium,2.0,8.0,3.51,Business and Finance,Entrepreneurship
122,24.0,Female,10.0,Visual,2.0,No,61.0,40.0,75.0,No,Low,23.0,5.0,2.665,Business and Finance,Entrepreneurship
123,25.0,Female,30.0,Auditory,4.0,No,58.0,81.0,57.0,Yes,Medium,27.0,8.0,3.465,Health Sciences,Pharmacy
124,21.0,Female,48.0,Kinesthetic,8.0,No,89.0,96.0,61.0,Yes,High,11.0,6.0,4.345,Business and Finance,Business Administration
125,25.0,Female,24.0,Visual,2.0,No,73.0,79.0,70.0,No,High,15.0,7.0,3.77,Health Sciences,Medical Technology
126,22.0,Female,39.0,Kinesthetic,6.0,Yes,64.0,74.0,52.0,Yes,Medium,20.0,4.0,3.33,Engineering,Electrical
127,28.0,Male,29.0,Auditory,19.0,No,99.0,83.0,92.0,No,Low,4.0,8.0,4.48,Engineering,Electrical
128,26.0,Other,40.0,Visual,2.0,Yes,91.0,59.0,61.0,Yes,Medium,23.0,7.0,3.45,Health Sciences,Medical Technology
129,29.0,Female,30.0,Reading/Writing,17.0,Yes,92.0,77.0,52.0,No,Medium,2.0,7.0,3.825,Business and Finance,Economics
130,26.0,Female,14.0,Kinesthetic,16.0,Yes,89.0,73.0,67.0,Yes,Low,6.0,5.0,3.83,Engineering,Mechanical
131,28.0,Male,32.0,Kinesthetic,2.0,No,66.0,79.0,61.0,No,Medium,20.0,8.0,3.575,Business and Finance,Economics
132,21.0,Male,10.0,Kinesthetic,4.0,Yes,58.0,58.0,88.0,Yes,High,5.0,4.0,3.2,Business and Finance,Business Administration
133,18.0,Male,15.0,Reading/Writing,0.0,Yes,97.0,64.0,57.0,Yes,Medium,7.0,9.0,3.625,Business and Finance,Economics
134,20.0,Male,11.0,Kinesthetic,17.0,Yes,95.0,97.0,92.0,No,Medium,4.0,10.0,4.77,Business and Finance,Business Administration
135,28.0,Other,27.0,Reading/Writing,14.0,Yes,83.0,45.0,74.0,Yes,High,9.0,9.0,3.11,Business and Finance,Accountancy
136,27.0,Female,12.0,Visual,5.0,Yes,68.0,87.0,52.0,No,Medium,19.0,8.0,3.715,Health Sciences,Public Health
137,18.0,Male,14.0,Visual,2.0,Yes,84.0,80.0,84.0,No,Low,7.0,9.0,4.1,Business and Finance,Business Administration
138,21.0,Female,42.0,Kinesthetic,5.0,No,53.0,84.0,93.0,Yes,Low,16.0,4.0,3.825,Business and Finance,Entrepreneurship
139,27.0,Female,40.0,Visual,19.0,No,60.0,83.0,57.0,Yes,Low,21.0,10.0,3.545,Engineering,Electronic
140,23.0,Female,21.0,Auditory,11.0,No,79.0,56.0,84.0,Yes,Medium,13.0,5.0,3.425,Health Sciences,Public Health
141,27.0,Male,17.0,Auditory,6.0,No,100.0,68.0,96.0,Yes,Low,13.0,9.0,4.16,Engineering,Electrical
142,23.0,Female,43.0,Auditory,14.0,Yes,67.0,83.0,80.0,Yes,Medium,15.0,7.0,3.88,Health Sciences,Pharmacy
143,23.0,Female,7.0,Auditory,11.0,No,73.0,95.0,59.0,Yes,Medium,8.0,8.0,4.06,Business and Finance,Entrepreneurship
144,21.0,Male,23.0,Visual,14.0,Yes,89.0,70.0,96.0,Yes,High,1.0,6.0,4.045,Business and Finance,Accountancy
145,21.0,Male,12.0,Reading/Writing,4.0,Yes,76.0,44.0,93.0,Yes,Low,0.0,4.0,3.17,Health Sciences,Pharmacy
146,20.0,Male,27.0,Reading/Writing,14.0,Yes,63.0,45.0,73.0,Yes,Medium,27.0,6.0,2.8,Health Sciences,Public Health
147,21.0,Female,17.0,Visual,18.0,Yes,93.0,92.0,53.0,Yes,Low,8.0,7.0,4.225,Business and Finance,Accountancy
148,25.0,Male,42.0,Reading/Writing,8.0,Yes,70.0,88.0,86.0,Yes,Low,19.0,8.0,4.11,Health Sciences,Public Health
149,18.0,Female,35.0,Visual,1.0,No,60.0,76.0,85.0,Yes,Medium,18.0,6.0,3.65,Business and Finance,Accountancy
150,20.0,Female,37.0,Reading/Writing,13.0,Yes,52.0,55.0,80.0,No,Low,5.0,7.0,2.955,Engineering,Computer
151,28.0,Male,16.0,Visual,2.0,Yes,50.0,96.0,68.0,Yes,Medium,11.0,5.0,3.83,Health Sciences,Nursing
152,28.0,Female,20.0,Visual,11.0,Yes,93.0,59.0,96.0,No,High,16.0,5.0,3.83,Engineering,Electronic
153,23.0,Male,30.0,Kinesthetic,18.0,No,68.0,80.0,77.0,Yes,Medium,23.0,5.0,3.79,Engineering,Electrical
154,21.0,Male,30.0,Auditory,10.0,No,68.0,53.0,69.0,Yes,Low,13.0,4.0,3.035,Health Sciences,Nursing
155,21.0,Male,46.0,Visual,19.0,No,91.0,92.0,91.0,No,Medium,15.0,8.0,4.575,Health Sciences,Public Health
156,26.0,Female,36.0,Kinesthetic,11.0,Yes,60.0,78.0,97.0,Yes,High,18.0,4.0,3.82,Engineering,Mechanical
157,20.0,Female,45.0,Visual,14.0,Yes,62.0,74.0,58.0,Yes,High,19.0,4.0,3.36,Health Sciences,Medical Technology
158,28.0,Male,11.0,Auditory,8.0,No,89.0,48.0,52.0,No,Medium,2.0,5.0,3.055,Business and Finance,Economics
159,23.0,Male,42.0,Reading/Writing,8.0,No,84.0,54.0,55.0,Yes,Low,13.0,9.0,3.16,Health Sciences,Public Health
160,29.0,Male,15.0,Auditory,9.0,No,89.0,71.0,51.0,Yes,Medium,11.0,10.0,3.62,Health Sciences,Public Health
161,27.0,Male,29.0,Kinesthetic,18.0,Yes,94.0,98.0,57.0,Yes,Low,29.0,9.0,4.43,Business and Finance,Entrepreneurship
162,18.0,Female,6.0,Kinesthetic,4.0,No,50.0,46.0,97.0,Yes,Medium,0.0,4.0,2.87,Health Sciences,Pharmacy
163,24.0,Female,6.0,Auditory,8.0,No,61.0,63.0,85.0,Yes,Medium,22.0,7.0,3.34,Business and Finance,Business Administration
164,19.0,Male,47.0,Reading/Writing,11.0,Yes,56.0,72.0,52.0,Yes,Low,7.0,9.0,3.16,Engineering,Mechanical
165,25.0,Male,20.0,Kinesthetic,10.0,Yes,61.0,59.0,98.0,Yes,Medium,21.0,4.0,3.37,Engineering,Electrical
166,22.0,Male,10.0,Reading/Writing,15.0,No,63.0,80.0,80.0,Yes,Low,19.0,4.0,3.745,Engineering,Electrical
167,20.0,Male,49.0,Visual,3.0,Yes,69.0,47.0,56.0,Yes,High,6.0,9.0,2.77,Business and Finance,Economics
168,21.0,Male,24.0,Visual,0.0,Yes,71.0,78.0,74.0,Yes,Medium,12.0,6.0,3.755,Business and Finance,Entrepreneurship
169,28.0,Female,40.0,Reading/Writing,19.0,No,90.0,44.0,74.0,Yes,Low,18.0,9.0,3.19,Health Sciences,Medical Technology
170,29.0,Male,8.0,Visual,1.0,Yes,91.0,92.0,83.0,No,Low,3.0,10.0,4.495,Engineering,Computer
171,22.0,Male,5.0,Auditory,3.0,Yes,86.0,61.0,96.0,Yes,Low,7.0,4.0,3.775,Engineering,Electronic
172,27.0,Male,35.0,Auditory,8.0,No,81.0,53.0,76.0,No,Low,22.0,4.0,3.3,Health Sciences,Pharmacy
173,27.0,Other,21.0,Visual,9.0,No,72.0,45.0,98.0,No,High,14.0,6.0,3.185,Business and Finance,Entrepreneurship
174,27.0,Female,43.0,Reading/Writing,11.0,Yes,66.0,80.0,99.0,Yes,High,2.0,6.0,3.98,Engineering,Electrical
175,18.0,Male,16.0,Visual,20.0,Yes,76.0,65.0,51.0,Yes,Medium,15.0,9.0,3.275,Business and Finance,Economics
176,24.0,Female,49.0,Visual,7.0,No,64.0,53.0,63.0,Yes,High,9.0,6.0,2.915,Business and Finance,Entrepreneurship
177,19.0,Male,27.0,Reading/Writing,9.0,Yes,53.0,41.0,64.0,Yes,Low,1.0,5.0,2.46,Engineering,Computer
178,28.0,Male,18.0,Visual,12.0,No,74.0,73.0,93.0,Yes,Medium,21.0,10.0,3.865,Health Sciences,Nursing
179,29.0,Female,31.0,Visual,0.0,Yes,80.0,94.0,61.0,Yes,Low,5.0,9.0,4.16,Engineering,Electronic
180,21.0,Male,20.0,Reading/Writing,19.0,Yes,59.0,53.0,74.0,Yes,Medium,22.0,4.0,2.95,Business and Finance,Entrepreneurship
181,28.0,Male,39.0,Kinesthetic,3.0,No,87.0,77.0,89.0,Yes,Low,8.0,4.0,4.12,Health Sciences,Pharmacy
182,27.0,Male,26.0,Reading/Writing,9.0,No,51.0,65.0,67.0,No,Medium,16.0,6.0,3.06,Engineering,Electrical
183,21.0,Male,39.0,Auditory,13.0,Yes,70.0,75.0,82.0,No,Low,4.0,10.0,3.745,Engineering,Electrical
184,23.0,Male,28.0,Auditory,12.0,Yes,65.0,46.0,55.0,Yes,Medium,6.0,4.0,2.675,Business and Finance,Accountancy
185,18.0,Female,41.0,Reading/Writing,6.0,Yes,61.0,87.0,70.0,Yes,Low,29.0,8.0,3.79,Health Sciences,Nursing
186,18.0,Female,21.0,Auditory,8.0,Yes,87.0,48.0,55.0,No,Medium,30.0,5.0,3.055,Health Sciences,Nursing
187,26.0,Female,8.0,Visual,2.0,No,88.0,96.0,74.0,Yes,Low,6.0,6.0,4.46,Engineering,Mechanical
188,21.0,Female,26.0,Auditory,3.0,Yes,62.0,81.0,90.0,No,Medium,0.0,10.0,3.855,Health Sciences,Public Health
189,22.0,Male,32.0,Auditory,8.0,No,89.0,48.0,60.0,Yes,Low,29.0,4.0,3.135,Business and Finance,Accountancy
190,23.0,Female,13.0,Visual,16.0,Yes,95.0,86.0,51.0,Yes,Low,22.0,9.0,4.085,Engineering,Electrical
191,24.0,Female,34.0,Auditory,13.0,No,50.0,79.0,59.0,Yes,Medium,13.0,7.0,3.315,Health Sciences,Public Health
192,23.0,Male,17.0,Reading/Writing,18.0,Yes,85.0,54.0,70.0,Yes,Medium,12.0,4.0,3.325,Health Sciences,Public Health
193,28.0,Male,9.0,Auditory,5.0,No,76.0,91.0,91.0,Yes,High,20.0,8.0,4.325,Engineering,Electronic
194,27.0,Female,45.0,Kinesthetic,4.0,Yes,85.0,86.0,57.0,No,Medium,2.0,8.0,3.995,Health Sciences,Pharmacy
195,29.0,Female,26.0,Reading/Writing,4.0,No,67.0,78.0,82.0,No,Low,15.0,9.0,3.775,Engineering,Computer
196,20.0,Male,39.0,Kinesthetic,20.0,No,96.0,84.0,73.0,No,High,14.0,6.0,4.27,Engineering,Electrical
197,24.0,Male,24.0,Auditory,20.0,Yes,52.0,51.0,96.0,Yes,Medium,25.0,10.0,3.015,Engineering,Electronic
198,19.0,Male,29.0,Kinesthetic,11.0,Yes,77.0,69.0,98.0,No,Medium,12.0,5.0,3.86,Engineering,Computer
199,28.0,Male,14.0,Kinesthetic,2.0,No,71.0,77.0,65.0,No,Medium,26.0,10.0,3.64,Health Sciences,Public Health
200,27.0,Male,22.0,Kinesthetic,3.0,Yes,66.0,69.0,65.0,Yes,Medium,1.0,9.0,3.365,Business and Finance,Business Administration
201,22.0,Male,38.0,Auditory,1.0,No,72.0,73.0,77.0,No,Medium,14.0,4.0,3.675,Business and Finance,Accountancy
202,22.0,Male,5.0,Visual,14.0,Yes,71.0,71.0,66.0,No,Medium,4.0,9.0,3.5,Engineering,Mechanical
203,26.0,Female,8.0,Visual,1.0,No,70.0,54.0,88.0,Yes,Low,21.0,5.0,3.28,Business and Finance,Entrepreneurship
204,22.0,Male,42.0,Reading/Writing,16.0,Yes,78.0,63.0,89.0,Yes,High,8.0,10.0,3.635,Engineering,Computer
205,24.0,Female,40.0,Visual,13.0,No,93.0,88.0,53.0,Yes,Medium,15.0,5.0,4.125,Health Sciences,Public Health
206,26.0,Male,36.0,Kinesthetic,6.0,Yes,67.0,88.0,68.0,Yes,High,8.0,10.0,3.885,Engineering,Electrical
207,25.0,Female,38.0,Reading/Writing,1.0,Yes,83.0,51.0,74.0,Yes,Low,13.0,5.0,3.26,Health Sciences,Pharmacy
208,22.0,Female,30.0,Kinesthetic,15.0,Yes,96.0,40.0,75.0,No,Low,16.0,8.0,3.19,Engineering,Electronic
209,27.0,Male,32.0,Visual,15.0,Yes,71.0,40.0,71.0,No,Medium,4.0,4.0,2.775,Business and Finance,Accountancy
210,18.0,Female,42.0,Kinesthetic,17.0,Yes,98.0,50.0,73.0,Yes,Low,20.0,5.0,3.45,Health Sciences,Nursing
211,22.0,Male,23.0,Reading/Writing,14.0,No,91.0,90.0,76.0,No,Low,27.0,10.0,4.375,Engineering,Electrical
212,21.0,Female,37.0,Reading/Writing,17.0,Yes,78.0,61.0,63.0,Yes,Medium,12.0,10.0,3.325,Engineering,Electrical
