Age,Gender,StudyHrs,Learning_Style,Courses_Comp,Discuss_Part,AssignRate,Exam_Score(%),AttendRate,TechUse,StressLevel,SocMediaHrs,SleepHrs,Equiv_Grade,College,Degree_Program
22.0,Female,38.0,Auditory,5.0,1,96.0,80.79959641117769,92.0,No,4,8,6,86.87975784670661,Engineering,Aerospace
20.0,Female,45.0,Visual,9.0,0,78.0,59.01338767527941,58.0,Yes,3,3,7,66.60803260516765,Business and Finance,Marketing
28.0,Other,6.0,Visual,13.0,0,81.0,38.383811991316136,90.0,No,8,6,4,55.430287194789685,Health Sciences,Nursing
26.0,Female,23.0,Visual,10.0,0,94.0,56.30841206520851,65.0,Yes,1,3,5,71.3850472391251,Business and Finance,Marketing
25.0,Male,35.0,Auditory,16.0,1,50.0,56.2,88.0,Yes,10,4,6,53.72,Health Sciences,Pharmacy
19.0,Male,12.0,Kinesthetic,5.0,1,50.0,35.30323771728179,66.0,Yes,9,5,7,41.18194263036907,Engineering,Civil
25.0,Female,38.0,Kinesthetic,6.0,1,88.0,76.02207572447107,100.0,Yes,7,4,4,80.81324543468264,Health Sciences,Physical Therapy
19.0,Male,44.0,Auditory,17.0,1,98.0,70.77536467947775,66.0,Yes,5,5,5,81.66521880768664,Engineering,Electrical
21.0,Female,33.0,Visual,9.0,1,99.0,71.24145886644662,79.0,No,4,3,6,82.34487531986798,Business and Finance,Business Administration
23.0,Female,26.0,Visual,3.0,1,62.0,52.12559157424831,71.0,Yes,7,2,8,56.07535494454899,Engineering,Computer
19.0,Male,47.0,Kinesthetic,2.0,0,52.0,60.11642838478765,84.0,Yes,6,7,6,56.8698570308726,Health Sciences,Nursing
25.0,Male,39.0,Reading/Writing,15.0,1,88.0,62.986438736768974,63.0,No,6,4,6,72.99186324206138,Business and Finance,Finance
23.0,Male,21.0,Visual,1.0,1,89.0,56.4085276968035,74.0,Yes,6,4,6,69.4451166180821,Engineering,Civil
21.0,Female,5.0,Visual,19.0,1,71.0,49.73318511422382,77.0,Yes,4,4,7,58.2399110685343,Business and Finance,Finance
29.0,Male,19.0,Reading/Writing,5.0,0,53.0,40.53078919482048,71.0,No,4,5,7,45.518473516892286,Engineering,Civil
29.0,Female,36.0,Reading/Writing,17.0,1,52.0,60.4,51.0,Yes,1,3,6,57.03999999999999,Business and Finance,Marketing
20.0,Male,14.0,Kinesthetic,2.0,1,52.0,46.02528234095103,77.0,Yes,6,4,4,48.41516940457062,Engineering,Electrical
25.0,Female,41.0,Kinesthetic,6.0,1,59.0,63.974234742621945,53.0,No,1,3,5,61.98454084557317,Business and Finance,Marketing
26.0,Female,32.0,Reading/Writing,7.0,1,71.0,67.75057482996203,89.0,No,5,4,6,69.05034489797723,Business and Finance,Finance
18.0,Male,21.0,Kinesthetic,12.0,1,100.0,66.70231970073552,75.0,No,2,5,5,80.02139182044131,Health Sciences,Pharmacy
20.0,Female,21.0,Kinesthetic,10.0,1,72.0,50.985405614849896,83.0,Yes,9,2,8,59.39124336890994,Engineering,Computer
24.0,Female,31.0,Kinesthetic,6.0,1,88.0,57.42209930930436,77.0,Yes,9,5,5,69.65325958558262,Health Sciences,Nursing
24.0,Female,9.0,Kinesthetic,11.0,0,88.0,54.59079740350073,87.0,No,1,5,6,67.95447844210044,Business and Finance,Business Administration
24.0,Male,12.0,Kinesthetic,14.0,0,57.0,31.85280625985185,73.0,Yes,7,2,5,41.91168375591111,Engineering,Computer
27.0,Male,42.0,Auditory,11.0,0,83.0,59.28202337600163,60.0,No,3,4,8,68.76921402560097,Engineering,Computer
19.0,Male,11.0,Visual,3.0,0,91.0,39.06489065735184,73.0,No,7,5,8,59.8389343944111,Engineering,Aerospace
18.0,Female,35.0,Visual,2.0,0,96.0,74.70097223465395,96.0,Yes,1,4,4,83.22058334079237,Engineering,Electrical
22.0,Male,9.0,Reading/Writing,7.0,1,53.0,40.80000000000001,87.0,No,10,1,8,45.68000000000001,Health Sciences,Pharmacy
20.0,Female,46.0,Visual,13.0,0,55.0,53.03961409117802,52.0,No,3,6,5,53.82376845470681,Business and Finance,Accountancy
23.0,Male,9.0,Visual,3.0,1,53.0,37.20000000000001,78.0,No,10,4,6,43.52000000000001,Engineering,Civil
19.0,Male,7.0,Auditory,12.0,0,79.0,37.77913140046861,72.0,Yes,5,0,9,54.26747884028117,Engineering,Computer
25.0,Male,22.0,Visual,6.0,0,75.0,43.88810551315014,68.0,No,5,4,7,56.33286330789008,Engineering,Computer
29.0,Female,34.0,Auditory,3.0,1,53.0,64.41913713160997,99.0,No,8,3,8,59.85148227896598,Engineering,Civil
25.0,Female,31.0,Reading/Writing,11.0,1,76.0,67.24257079871128,69.0,Yes,2,5,6,70.74554247922677,Health Sciences,Physical Therapy
23.0,Male,38.0,Kinesthetic,0.0,1,62.0,79.10045084039596,96.0,Yes,2,3,5,72.26027050423758,Health Sciences,Physical Therapy
26.0,Male,39.0,Reading/Writing,15.0,0,88.0,53.779427434102125,57.0,Yes,5,5,5,67.46765646046128,Business and Finance,Finance
25.0,Female,23.0,Visual,5.0,1,62.0,47.63570616327695,61.0,Yes,6,3,7,53.38142369796617,Business and Finance,Business Administration
20.0,Female,34.0,Kinesthetic,18.0,0,76.0,40.0,61.0,Yes,10,5,5,54.400000000000006,Business and Finance,Finance
23.0,Male,12.0,Visual,8.0,1,75.0,35.01590268514633,52.0,Yes,8,2,6,51.0095416110878,Engineering,Aerospace
28.0,Female,28.0,Reading/Writing,0.0,1,98.0,66.0,99.0,Yes,10,3,5,78.80000000000001,Engineering,Mechanical
18.0,Male,23.0,Reading/Writing,0.0,0,89.0,53.88512867108717,70.0,Yes,2,3,6,67.9310772026523,Business and Finance,Finance
19.0,Female,35.0,Kinesthetic,9.0,1,90.0,65.80000000000001,92.0,No,10,5,6,75.48,Health Sciences,Nursing
20.0,Male,5.0,Reading/Writing,14.0,0,71.0,32.43767467086036,61.0,No,4,4,8,47.862604802516216,Business and Finance,Marketing
29.0,Female,11.0,Visual,4.0,1,74.0,52.42989048836924,80.0,No,5,1,8,61.057934293021546,Engineering,Aerospace
19.0,Female,15.0,Reading/Writing,15.0,1,61.0,32.8,54.0,No,10,1,5,44.08,Health Sciences,Medical Technology
25.0,Female,40.0,Auditory,15.0,1,58.0,76.0755162193451,87.0,No,2,1,6,68.84530973160707,Engineering,Electrical
27.0,Female,12.0,Reading/Writing,19.0,1,58.0,46.69475594479454,86.0,No,8,5,5,51.21685356687672,Engineering,Aerospace
29.0,Female,12.0,Reading/Writing,15.0,1,57.0,35.93319026797572,57.0,No,7,3,5,44.35991416078543,Engineering,Civil
29.0,Female,22.0,Visual,6.0,0,100.0,63.24258752739313,87.0,Yes,2,4,7,77.94555251643587,Health Sciences,Medical Technology
19.0,Male,25.0,Visual,12.0,1,80.0,56.35533505607128,52.0,Yes,2,4,6,65.81320103364277,Engineering,Civil
28.0,Female,39.0,Reading/Writing,13.0,0,100.0,71.57508022230618,96.0,Yes,5,6,5,82.94504813338371,Health Sciences,Medical Technology
22.0,Female,34.0,Reading/Writing,17.0,0,86.0,67.69067417430725,95.0,Yes,3,3,5,75.01440450458435,Business and Finance,Marketing
24.0,Male,30.0,Kinesthetic,7.0,0,80.0,55.874735752266034,80.0,Yes,5,2,4,65.52484145135962,Engineering,Computer
23.0,Female,11.0,Auditory,10.0,0,63.0,46.6269915775078,81.0,Yes,2,1,4,53.17619494650468,Business and Finance,Business Administration
26.0,Male,16.0,Reading/Writing,14.0,1,89.0,51.285562542860646,59.0,Yes,4,3,5,66.37133752571638,Health Sciences,Physical Therapy
20.0,Male,47.0,Auditory,5.0,0,73.0,46.410648751930616,59.0,Yes,9,4,6,57.04638925115837,Engineering,Computer
18.0,Female,49.0,Visual,6.0,0,91.0,52.0572269177117,59.0,Yes,9,3,7,67.63433615062702,Health Sciences,Medical Technology
26.0,Male,16.0,Kinesthetic,19.0,0,54.0,25.200000000000003,62.0,Yes,10,5,5,36.72,Engineering,Civil
19.0,Female,38.0,Kinesthetic,0.0,1,74.0,54.80000000000001,68.0,No,10,5,6,62.48,Engineering,Mechanical
23.0,Female,23.0,Reading/Writing,7.0,1,61.0,48.970786807155854,50.0,Yes,3,5,6,53.78247208429352,Health Sciences,Physical Therapy
23.0,Male,10.0,Reading/Writing,17.0,0,52.0,23.0,51.0,Yes,10,2,6,34.6,Engineering,Mechanical
25.0,Female,45.0,Kinesthetic,20.0,1,75.0,76.045074933924,92.0,Yes,6,5,7,75.6270449603544,Business and Finance,Finance
21.0,Female,48.0,Visual,6.0,1,66.0,82.69164387129665,86.0,Yes,1,1,4,76.01498632277799,Business and Finance,Marketing
27.0,Female,31.0,Reading/Writing,1.0,1,79.0,60.09597405454458,58.0,No,3,2,6,67.65758443272674,Business and Finance,Finance
24.0,Male,33.0,Auditory,18.0,1,59.0,59.20940843972201,69.0,No,4,3,5,59.1256450638332,Health Sciences,Physical Therapy
19.0,Female,23.0,Visual,6.0,0,56.0,37.4,81.0,Yes,10,3,6,44.84,Engineering,Mechanical
28.0,Female,23.0,Visual,2.0,0,76.0,48.2,98.0,No,10,2,7,59.32000000000001,Health Sciences,Nursing
27.0,Male,13.0,Reading/Writing,5.0,0,79.0,43.283148230255904,80.0,Yes,6,2,9,57.56988893815354,Health Sciences,Nursing
28.0,Female,36.0,Kinesthetic,0.0,0,52.0,56.92814746234941,68.0,Yes,1,5,4,54.95688847740965,Business and Finance,Business Administration
21.0,Female,15.0,Kinesthetic,16.0,0,97.0,41.91890545914321,72.0,Yes,7,4,7,63.951343275485925,Engineering,Aerospace
29.0,Other,26.0,Auditory,0.0,1,73.0,61.23351239292907,79.0,No,5,7,4,65.94010743575745,Business and Finance,Business Administration
24.0,Female,10.0,Visual,2.0,0,61.0,46.2,75.0,No,1,4,6,52.120000000000005,Business and Finance,Finance
25.0,Female,30.0,Auditory,4.0,0,58.0,46.02493741028605,57.0,Yes,3,4,5,50.814962446171634,Health Sciences,Nursing
21.0,Female,48.0,Kinesthetic,8.0,0,89.0,66.6174613027213,61.0,Yes,2,4,6,75.57047678163278,Business and Finance,Business Administration
25.0,Female,24.0,Visual,2.0,0,73.0,47.702191674524,70.0,No,4,2,7,57.8213150047144,Health Sciences,Pharmacy
22.0,Female,39.0,Kinesthetic,6.0,1,64.0,61.5001491372816,52.0,Yes,2,1,8,62.50008948236896,Engineering,Electrical
28.0,Male,29.0,Auditory,19.0,0,99.0,72.0,92.0,No,1,6,5,82.8,Engineering,Electrical
26.0,Other,40.0,Visual,2.0,1,91.0,64.47816484024385,61.0,Yes,6,3,7,75.08689890414631,Health Sciences,Physical Therapy
29.0,Female,30.0,Reading/Writing,17.0,1,92.0,49.69069190926752,52.0,No,8,5,5,66.61441514556051,Business and Finance,Business Administration
26.0,Female,14.0,Kinesthetic,16.0,1,89.0,44.926725621764135,67.0,Yes,9,1,5,62.55603537305848,Engineering,Electrical
28.0,Male,32.0,Kinesthetic,2.0,0,66.0,45.18378684446495,61.0,No,5,4,8,53.51027210667897,Business and Finance,Business Administration
21.0,Male,10.0,Kinesthetic,4.0,1,58.0,44.91410583243898,88.0,Yes,8,4,10,50.14846349946339,Business and Finance,Accountancy
18.0,Male,15.0,Reading/Writing,0.0,1,97.0,46.42637442582525,57.0,Yes,7,3,5,66.65582465549515,Business and Finance,Business Administration
20.0,Male,11.0,Kinesthetic,17.0,1,95.0,52.39999999999999,92.0,No,10,5,6,69.44,Business and Finance,Accountancy
28.0,Other,27.0,Reading/Writing,14.0,1,83.0,61.096717132108864,74.0,Yes,5,4,4,69.85803027926532,Business and Finance,Marketing
27.0,Female,12.0,Visual,5.0,1,68.0,34.736513988625646,52.0,No,8,6,7,48.04190839317539,Health Sciences,Pharmacy
18.0,Male,14.0,Visual,2.0,1,84.0,66.11834292475366,84.0,No,1,5,5,73.2710057548522,Business and Finance,Marketing
21.0,Female,42.0,Kinesthetic,5.0,0,53.0,65.14457438888215,93.0,Yes,3,3,4,60.28674463332929,Business and Finance,Business Administration
27.0,Female,40.0,Visual,19.0,0,60.0,56.8,57.0,Yes,1,7,6,58.08,Engineering,Mechanical
23.0,Female,21.0,Auditory,11.0,0,79.0,57.41896663716911,84.0,Yes,2,3,7,66.05137998230146,Health Sciences,Pharmacy
27.0,Male,17.0,Auditory,6.0,0,100.0,51.59801586989707,96.0,Yes,8,6,4,70.95880952193824,Engineering,Aerospace
23.0,Female,43.0,Auditory,14.0,1,67.0,67.9231003709497,80.0,Yes,6,4,4,67.55386022256982,Health Sciences,Medical Technology
23.0,Female,7.0,Auditory,11.0,0,73.0,39.836899109046456,59.0,Yes,1,5,8,53.10213946542788,Business and Finance,Accountancy
21.0,Male,23.0,Visual,14.0,1,89.0,71.62136178841973,96.0,Yes,4,0,8,78.57281707305184,Business and Finance,Marketing
21.0,Male,12.0,Reading/Writing,4.0,1,76.0,61.06034831514537,93.0,Yes,4,5,4,67.03620898908723,Health Sciences,Pharmacy
20.0,Male,27.0,Reading/Writing,14.0,1,63.0,52.50410209587314,73.0,Yes,7,5,5,56.702461257523886,Health Sciences,Pharmacy
21.0,Female,17.0,Visual,18.0,1,93.0,58.00000000000001,53.0,Yes,1,5,4,72.0,Business and Finance,Marketing
25.0,Male,42.0,Reading/Writing,8.0,1,70.0,63.6,86.0,Yes,10,2,8,66.16,Health Sciences,Nursing
18.0,Female,35.0,Visual,1.0,0,60.0,47.448449131680455,85.0,Yes,9,5,5,52.46906947900827,Business and Finance,Finance
20.0,Female,37.0,Reading/Writing,13.0,1,52.0,66.93464182922166,80.0,No,3,5,6,60.96078509753299,Engineering,Computer
28.0,Male,16.0,Visual,2.0,1,50.0,39.84106676808551,68.0,Yes,8,4,7,43.90464006085131,Health Sciences,Physical Therapy
28.0,Female,20.0,Visual,11.0,1,93.0,72.37900807071476,96.0,No,3,6,7,80.62740484242886,Engineering,Civil
23.0,Male,30.0,Kinesthetic,18.0,0,68.0,49.267430091421474,77.0,Yes,6,4,6,56.76045805485289,Engineering,Aerospace
21.0,Male,30.0,Auditory,10.0,0,68.0,45.97856545832397,69.0,Yes,6,2,6,54.78713927499439,Health Sciences,Nursing
21.0,Male,46.0,Visual,19.0,0,91.0,62.19999999999999,91.0,No,10,1,8,73.72,Health Sciences,Physical Therapy
26.0,Female,36.0,Kinesthetic,11.0,1,60.0,69.78181899047172,97.0,Yes,6,3,7,65.86909139428303,Engineering,Aerospace
20.0,Female,45.0,Visual,14.0,1,62.0,70.6,58.0,Yes,1,4,8,67.16,Health Sciences,Medical Technology
28.0,Male,11.0,Auditory,8.0,0,89.0,40.68716795281465,52.0,No,2,6,6,60.01230077168879,Business and Finance,Business Administration
23.0,Male,42.0,Reading/Writing,8.0,0,84.0,44.96639313786146,55.0,Yes,9,5,7,60.57983588271688,Health Sciences,Medical Technology
29.0,Male,15.0,Auditory,9.0,0,89.0,29.21172487402516,51.0,Yes,8,4,5,53.1270349244151,Health Sciences,Pharmacy
27.0,Male,29.0,Kinesthetic,18.0,1,94.0,59.09150252084836,57.0,Yes,4,1,7,73.05490151250902,Business and Finance,Business Administration
18.0,Female,6.0,Kinesthetic,4.0,0,50.0,37.16675863632967,97.0,Yes,7,2,8,42.3000551817978,Health Sciences,Medical Technology
24.0,Female,6.0,Auditory,8.0,0,61.0,46.20007832661584,85.0,Yes,1,0,7,52.1200469959695,Business and Finance,Accountancy
19.0,Male,47.0,Reading/Writing,11.0,1,56.0,53.28991922456412,52.0,Yes,8,8,5,54.37395153473847,Engineering,Computer
25.0,Male,20.0,Kinesthetic,10.0,1,61.0,65.26555303732512,98.0,Yes,4,3,5,63.559331822395066,Engineering,Electrical
22.0,Male,10.0,Reading/Writing,15.0,0,63.0,30.6,80.0,Yes,10,6,8,43.56,Engineering,Computer
20.0,Male,49.0,Visual,3.0,1,69.0,55.60000000000001,56.0,Yes,10,0,6,60.96000000000001,Business and Finance,Business Administration
21.0,Male,24.0,Visual,0.0,1,71.0,62.77646475449416,74.0,Yes,2,5,7,66.0658788526965,Business and Finance,Accountancy
28.0,Female,40.0,Reading/Writing,19.0,0,90.0,63.69676141825466,74.0,Yes,3,3,8,74.21805685095279,Health Sciences,Physical Therapy
29.0,Male,8.0,Visual,1.0,1,91.0,59.591224880795664,83.0,No,3,6,7,72.1547349284774,Engineering,Electrical
22.0,Male,5.0,Auditory,3.0,1,86.0,48.60000000000001,96.0,Yes,10,1,6,63.56,Engineering,Civil
27.0,Male,35.0,Auditory,8.0,0,81.0,51.06629234138619,76.0,No,8,2,8,63.03977540483171,Health Sciences,Nursing
27.0,Other,21.0,Visual,9.0,0,72.0,54.90873950171355,98.0,No,5,4,6,61.74524370102813,Business and Finance,Accountancy
27.0,Female,43.0,Reading/Writing,11.0,1,66.0,73.7258527001974,99.0,Yes,7,2,8,70.63551162011844,Engineering,Civil
18.0,Male,16.0,Visual,20.0,1,76.0,46.998368151565735,51.0,Yes,4,2,6,58.59902089093944,Business and Finance,Finance
24.0,Female,49.0,Visual,7.0,0,64.0,55.6915881366736,63.0,Yes,5,0,4,59.01495288200416,Business and Finance,Accountancy
19.0,Male,27.0,Reading/Writing,9.0,1,53.0,60.4,64.0,Yes,1,2,4,57.44,Engineering,Electrical
28.0,Male,18.0,Visual,12.0,0,74.0,56.96070418903053,93.0,Yes,2,6,4,63.77642251341832,Health Sciences,Nursing
29.0,Female,31.0,Visual,0.0,1,80.0,49.0,61.0,Yes,10,5,5,61.4,Engineering,Computer
21.0,Male,20.0,Reading/Writing,19.0,1,59.0,57.71022809809205,74.0,Yes,2,0,7,58.226136858855234,Business and Finance,Marketing
28.0,Male,39.0,Kinesthetic,3.0,0,87.0,64.94647048377645,89.0,Yes,5,5,5,73.76788229026587,Health Sciences,Medical Technology
27.0,Male,26.0,Reading/Writing,9.0,0,51.0,44.568825715441406,67.0,No,4,6,4,47.14129542926485,Engineering,Electrical
21.0,Male,39.0,Auditory,13.0,1,70.0,76.07018619153119,82.0,No,2,6,6,73.64211171491871,Engineering,Mechanical
23.0,Male,28.0,Auditory,12.0,1,65.0,54.53101623940925,55.0,Yes,3,6,7,58.71860974364554,Business and Finance,Business Administration
18.0,Female,41.0,Reading/Writing,6.0,1,61.0,67.56478650698779,70.0,Yes,3,0,5,64.93887190419267,Health Sciences,Physical Therapy
18.0,Female,21.0,Auditory,8.0,1,87.0,54.24715689487446,55.0,No,3,3,7,67.34829413692468,Health Sciences,Physical Therapy
26.0,Female,8.0,Visual,2.0,0,88.0,37.22294772652306,74.0,Yes,7,3,7,57.53376863591384,Engineering,Electrical
21.0,Female,26.0,Auditory,3.0,1,62.0,70.67900764265988,90.0,No,1,4,7,67.20740458559592,Health Sciences,Nursing
22.0,Male,32.0,Auditory,8.0,0,89.0,55.07096991518432,60.0,Yes,2,4,5,68.64258194911059,Business and Finance,Finance
23.0,Female,13.0,Visual,16.0,1,95.0,51.15398800347082,51.0,Yes,3,4,4,68.6923928020825,Engineering,Electrical
24.0,Female,34.0,Auditory,13.0,0,50.0,45.71735988684924,59.0,Yes,4,3,4,47.43041593210954,Health Sciences,Pharmacy
23.0,Male,17.0,Reading/Writing,18.0,1,85.0,59.02394218041466,70.0,Yes,3,4,9,69.41436530824879,Health Sciences,Nursing
28.0,Male,9.0,Auditory,5.0,0,76.0,44.62880784697879,91.0,Yes,6,2,6,57.17728470818727,Engineering,Electrical
27.0,Female,45.0,Kinesthetic,4.0,1,85.0,66.5470493717235,57.0,No,5,5,8,73.9282296230341,Health Sciences,Pharmacy
29.0,Female,26.0,Reading/Writing,4.0,0,67.0,59.8,82.0,No,1,5,6,62.67999999999999,Engineering,Mechanical
20.0,Male,39.0,Kinesthetic,20.0,0,96.0,65.91686178289144,73.0,No,2,4,8,77.95011706973487,Engineering,Mechanical
24.0,Male,24.0,Auditory,20.0,1,52.0,69.24899538872886,96.0,Yes,1,2,5,62.34939723323731,Engineering,Mechanical
19.0,Male,29.0,Kinesthetic,11.0,1,77.0,80.00000000000001,98.0,No,1,5,7,78.80000000000001,Engineering,Aerospace
28.0,Male,14.0,Kinesthetic,2.0,0,71.0,34.83817368650321,65.0,No,6,3,5,49.30290421190193,Health Sciences,Nursing
27.0,Male,22.0,Kinesthetic,3.0,1,66.0,46.581818031519646,65.0,Yes,7,2,7,54.34909081891179,Business and Finance,Accountancy
22.0,Male,38.0,Auditory,1.0,0,72.0,59.98687364056659,77.0,No,4,3,5,64.79212418433995,Business and Finance,Accountancy
22.0,Male,5.0,Visual,14.0,1,71.0,37.56689427523961,66.0,No,8,3,6,50.94013656514377,Engineering,Computer
26.0,Female,8.0,Visual,1.0,0,70.0,40.6247142818075,88.0,Yes,6,3,6,52.3748285690845,Business and Finance,Marketing
22.0,Male,42.0,Reading/Writing,16.0,1,78.0,71.75328435598804,89.0,Yes,7,2,8,74.25197061359282,Engineering,Civil
24.0,Female,40.0,Visual,13.0,0,93.0,54.263376519635344,53.0,Yes,4,3,7,69.7580259117812,Health Sciences,Pharmacy
26.0,Male,36.0,Kinesthetic,6.0,1,67.0,67.46026024239524,68.0,Yes,2,2,8,67.27615614543714,Engineering,Electrical
25.0,Female,38.0,Reading/Writing,1.0,1,83.0,69.37039313578971,74.0,Yes,4,4,7,74.82223588147383,Health Sciences,Pharmacy
22.0,Female,30.0,Kinesthetic,15.0,1,96.0,57.2,75.0,No,10,2,10,72.72,Engineering,Aerospace
27.0,Male,32.0,Visual,15.0,1,71.0,63.31861435636628,71.0,No,4,3,5,66.39116861381977,Business and Finance,Marketing
18.0,Female,42.0,Kinesthetic,17.0,1,98.0,71.42421771844346,73.0,Yes,6,4,4,82.05453063106609,Health Sciences,Pharmacy
22.0,Male,23.0,Reading/Writing,14.0,0,91.0,60.07123688633703,76.0,No,1,5,6,72.44274213180222,Engineering,Electrical
21.0,Female,37.0,Reading/Writing,17.0,1,78.0,63.754929270347006,63.0,Yes,4,2,8,69.45295756220821,Engineering,Electrical
18.0,Male,12.0,Visual,4.0,0,54.0,39.27025847608605,63.0,Yes,2,0,8,45.162155085651634,Business and Finance,Finance
29.0,Male,32.0,Auditory,4.0,1,64.0,62.0,55.0,Yes,1,3,7,62.8,Health Sciences,Nursing
25.0,Male,12.0,Reading/Writing,14.0,0,72.0,36.09091938996622,83.0,Yes,9,6,6,50.45455163397973,Health Sciences,Physical Therapy
19.0,Male,11.0,Reading/Writing,1.0,1,53.0,54.79822201256088,100.0,Yes,6,4,7,54.07893320753653,Health Sciences,Medical Technology
